episode,step,reward,min_range,v,w,timestamp
1,233,-0.098,0.7980921268463135,-0.08,0.9,1762042318.7312467
1,234,-0.098,0.797668993473053,-0.08,0.9,1762042318.8313239
1,235,-0.098,0.7974183559417725,-0.08,0.9,1762042318.9312778
1,236,-0.098,0.7972524762153625,-0.08,0.9,1762042319.0312567
1,237,-0.098,0.7972304224967957,-0.08,0.9,1762042319.1312501
1,238,-0.098,0.7972289323806763,-0.08,0.9,1762042319.231282
1,239,-0.098,0.797232449054718,-0.08,0.9,1762042319.331218
1,240,-0.098,0.7972272634506226,-0.08,0.9,1762042319.431235
1,241,-0.098,0.7972257137298584,-0.08,0.9,1762042319.5312479
1,242,0.156,0.7972293496131897,0.18,1.2,1762042319.6312501
1,243,-0.098,0.796951413154602,-0.08,-0.9,1762042319.7312121
1,244,-0.098,0.7966583967208862,-0.08,-0.9,1762042319.8312404
1,245,-0.098,0.7999402284622192,-0.08,-0.9,1762042319.9312341
1,246,-0.098,0.8066120147705078,-0.08,-0.9,1762042320.0312448
1,247,-0.098,0.8204799890518188,-0.08,-0.9,1762042320.1312554
1,248,-0.098,0.8276441693305969,-0.08,-0.9,1762042320.231244
1,249,-0.098,0.8423329591751099,-0.08,-0.9,1762042320.3312492
1,250,-0.098,0.8498139381408691,-0.08,-0.9,1762042320.431263
1,251,-0.098,0.8648271560668945,-0.08,-0.9,1762042320.5312307
1,252,0.156,0.8708665370941162,0.18,1.2,1762042320.6312451
1,253,-0.098,0.870740532875061,-0.08,0.9,1762042320.7312508
1,254,-0.098,0.8706987500190735,-0.08,0.9,1762042320.8312323
1,255,-0.098,0.8706510066986084,-0.08,0.9,1762042320.9312315
1,256,-0.098,0.8706291317939758,-0.08,0.9,1762042321.031244
1,257,-0.098,0.8705898523330688,-0.08,0.9,1762042321.131231
1,258,-0.098,0.8705898523330688,-0.08,0.9,1762042321.2312477
1,259,-0.098,0.8713766932487488,-0.08,0.9,1762042321.3312485
1,260,-0.098,0.8674836754798889,-0.08,0.9,1762042321.4312396
1,261,0.156,0.8584033250808716,0.18,1.2,1762042321.531232
1,262,-0.098,0.858460009098053,-0.08,-0.9,1762042321.631234
1,263,-0.098,0.858581006526947,-0.08,-0.9,1762042321.731259
1,264,-0.098,0.858581006526947,-0.08,-0.9,1762042321.8312664
1,265,-0.098,0.8585895895957947,-0.08,-0.9,1762042321.9312434
1,266,-0.098,0.8585970997810364,-0.08,-0.9,1762042322.031233
1,267,-0.098,0.8586421012878418,-0.08,-0.9,1762042322.1312475
1,268,-0.098,0.8587606549263,-0.08,-0.9,1762042322.2312305
1,269,-0.098,0.8578672409057617,-0.08,-0.9,1762042322.3312788
1,270,0.156,0.8572717905044556,0.18,1.2,1762042322.4312804
1,271,-0.098,0.8570340871810913,-0.08,0.9,1762042322.5312557
1,272,-0.098,0.8548950552940369,-0.08,0.9,1762042322.631283
1,273,-0.098,0.8467711210250854,-0.08,0.9,1762042322.7312384
1,274,-0.098,0.8425514101982117,-0.08,0.9,1762042322.8312454
1,275,-0.098,0.8357360363006592,-0.08,0.9,1762042322.9312377
1,276,-0.098,0.8330187201499939,-0.08,0.9,1762042323.0312583
1,277,-0.098,0.8229072690010071,-0.08,0.9,1762042323.1312318
1,278,-0.098,0.8208333849906921,-0.08,0.9,1762042323.231214
1,279,-0.098,0.8159751296043396,-0.08,0.9,1762042323.3312469
1,280,0.156,0.8150320649147034,0.18,1.2,1762042323.4312475
1,281,-0.098,0.8153448700904846,-0.08,-0.9,1762042323.5312228
1,282,-0.098,0.815518319606781,-0.08,-0.9,1762042323.6312199
1,283,-0.098,0.8159588575363159,-0.08,-0.9,1762042323.7312417
1,284,-0.098,0.8159237504005432,-0.08,-0.9,1762042323.8312306
1,285,-0.098,0.8153170347213745,-0.08,-0.9,1762042323.9312136
1,286,-0.098,0.8157358169555664,-0.08,-0.9,1762042324.0312433
